iter	Passed	Remaining
0	1	1023
1	1	858
2	2	812
3	3	792
4	3	775
5	4	764
6	5	753
7	6	757
8	6	753
9	7	748
10	8	740
11	9	744
12	9	746
13	10	743
14	11	743
15	12	739
16	12	734
17	13	733
18	14	730
19	14	727
20	15	726
21	16	727
22	17	727
23	17	727
24	18	725
25	19	723
26	20	723
27	20	721
28	21	719
29	22	717
30	22	715
31	23	712
32	24	711
33	24	709
34	25	708
35	26	708
36	27	705
37	27	703
38	28	705
39	29	705
40	30	703
41	30	703
42	31	704
43	32	702
44	33	701
45	33	701
46	34	699
47	35	697
48	35	696
49	36	695
50	37	694
51	38	693
52	38	693
53	39	692
54	40	692
55	41	692
56	41	689
57	42	688
58	43	687
59	43	687
60	44	686
61	45	687
62	46	686
63	46	686
64	47	685
65	48	684
66	49	682
67	49	682
68	50	681
69	51	681
70	52	680
71	52	679
72	53	678
73	54	677
74	54	675
75	55	674
76	56	673
77	56	672
78	57	671
79	58	671
80	59	670
81	59	670
82	60	666
83	61	665
84	61	664
85	62	663
86	63	662
87	63	660
88	64	659
89	65	657
90	65	656
91	66	655
92	67	654
93	67	652
94	68	651
95	69	650
96	69	649
97	70	647
98	71	646
99	71	644
100	72	649
101	73	648
102	74	648
103	75	647
104	75	647
105	76	645
106	77	644
107	77	643
108	78	642
109	79	640
110	79	639
111	80	638
112	81	637
113	81	636
114	82	635
115	83	634
116	83	632
117	84	631
118	85	630
119	85	629
120	86	628
121	87	628
122	88	628
123	89	629
124	89	628
125	90	628
126	91	626
127	91	626
128	92	625
129	93	624
130	94	623
131	94	623
132	95	621
133	96	620
134	96	619
135	97	618
136	98	617
137	98	616
138	99	615
139	100	614
140	100	613
141	101	611
142	102	611
143	102	610
144	103	610
145	104	609
146	104	609
147	105	608
148	106	607
149	107	607
150	107	607
151	108	606
152	109	605
153	110	604
154	110	603
155	111	602
156	112	601
157	112	601
158	113	600
159	114	599
160	114	596
161	115	596
162	115	595
163	116	594
164	117	593
165	117	592
166	118	591
167	119	591
168	120	590
169	120	590
170	121	589
171	122	588
172	122	587
173	123	586
174	124	585
175	124	584
176	125	583
177	126	582
178	126	581
179	127	580
180	128	579
181	128	579
182	129	578
183	130	577
184	131	577
185	131	576
186	132	575
187	133	574
188	133	574
189	134	573
190	135	573
191	136	573
192	136	572
193	137	571
194	138	570
195	139	570
196	139	569
197	140	568
198	141	568
199	141	567
200	142	566
201	143	565
202	143	564
203	144	563
204	145	562
205	145	562
206	146	561
207	147	560
208	147	559
209	148	559
210	149	558
211	150	557
212	150	557
213	151	556
214	152	556
215	153	555
216	153	554
217	154	553
218	155	553
219	155	552
220	156	551
221	157	551
222	158	550
223	158	550
224	159	549
225	160	549
226	161	549
227	162	548
228	162	548
229	163	547
230	164	546
231	164	545
232	165	545
233	166	544
234	167	543
235	167	542
236	168	542
237	169	541
238	169	540
239	170	539
240	170	538
241	171	537
242	172	536
243	172	535
244	173	535
245	174	534
246	175	533
247	175	532
248	176	531
249	176	530
250	177	530
251	178	529
252	178	528
253	179	527
254	180	526
255	181	526
256	181	525
257	182	524
258	183	523
259	183	522
260	184	522
261	185	521
262	186	521
263	186	520
264	187	520
265	188	519
266	188	518
267	189	517
268	190	516
269	190	515
270	191	515
271	192	514
272	192	513
273	193	512
274	194	512
275	194	511
276	195	510
277	196	509
278	197	509
279	197	508
280	198	507
281	199	507
282	199	506
283	200	505
284	201	504
285	201	504
286	202	503
287	203	502
288	204	501
289	204	501
290	205	500
291	205	499
292	206	498
293	207	497
294	208	497
295	208	496
296	209	495
297	210	495
298	210	494
299	211	493
300	212	493
301	213	493
302	214	492
303	214	492
304	215	491
305	216	490
306	217	490
307	217	489
308	218	488
309	219	487
310	219	486
311	220	486
312	221	485
313	221	484
314	222	484
315	223	483
316	224	482
317	224	482
318	225	481
319	226	481
320	227	480
321	228	480
322	228	479
323	229	478
324	230	478
325	231	477
326	231	476
327	232	476
328	233	475
329	233	474
330	234	473
331	235	472
332	235	472
333	236	471
334	237	470
335	237	469
336	238	468
337	239	468
338	239	467
339	240	466
340	241	465
341	241	465
342	242	464
343	243	464
344	244	463
345	245	463
346	245	462
347	246	462
348	247	461
349	248	460
350	248	459
351	249	459
352	250	458
353	250	457
354	251	456
355	252	456
356	252	455
357	253	454
358	254	453
359	254	452
360	255	452
361	256	451
362	257	451
363	257	450
364	258	449
365	259	449
366	260	448
367	260	447
368	261	447
369	262	446
370	262	445
371	263	444
372	264	444
373	265	443
374	265	443
375	266	442
376	267	441
377	267	440
378	268	439
379	269	439
380	269	438
381	271	438
382	272	438
383	273	438
384	274	437
385	275	437
386	275	436
387	276	436
388	277	435
389	278	434
390	278	434
391	279	433
392	280	432
393	280	431
394	281	431
395	282	430
396	282	429
397	283	429
398	284	428
399	285	427
400	286	427
401	286	426
402	287	425
403	288	425
404	288	424
405	289	423
406	290	422
407	291	422
408	291	421
409	292	420
410	293	420
411	293	419
412	294	418
413	295	417
414	295	417
415	296	416
416	297	415
417	297	414
418	298	414
419	299	413
420	300	413
421	301	412
422	301	411
423	302	411
424	303	410
425	304	410
426	305	409
427	306	408
428	306	408
429	307	407
430	308	407
431	309	406
432	309	405
433	310	405
434	311	404
435	312	404
436	313	403
437	313	402
438	314	401
439	315	401
440	316	400
441	316	399
442	317	399
443	318	398
444	318	397
445	319	396
446	320	396
447	321	395
448	321	394
449	322	394
450	323	393
451	323	392
452	324	391
453	325	391
454	325	390
455	326	389
456	327	388
457	327	388
458	328	387
459	329	386
460	329	385
461	330	385
462	331	384
463	332	383
464	333	383
465	333	382
466	334	381
467	335	381
468	336	380
469	336	379
470	337	379
471	338	378
472	338	377
473	339	376
474	340	375
475	340	375
476	341	374
477	342	373
478	342	372
479	343	372
480	344	371
481	344	370
482	345	369
483	346	369
484	347	368
485	347	367
486	348	367
487	349	366
488	350	365
489	350	365
490	351	364
491	352	363
492	352	363
493	353	362
494	354	361
495	354	360
496	355	359
497	356	359
498	356	358
499	357	357
500	358	356
501	359	356
502	359	355
503	360	354
504	361	354
505	362	353
506	362	352
507	363	351
508	364	351
509	364	350
510	365	349
511	366	349
512	366	348
513	367	347
514	368	346
515	368	346
516	369	345
517	370	344
518	370	343
519	371	342
520	372	342
521	372	341
522	373	340
523	374	339
